,Item Name,Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
18,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
19,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
20,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
21,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
22,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
23,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
24,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
25,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
26,Premium Chicken Sandwich- Grilled,510,31,22,43,"1,350",200,4,0,80,2,6,160,Chicken & Fish
27,Premium Chicken Sandwich- Grilled w/o Mayo,400,31,11,43,"1,260",100,2,0,70,2,5,149,Chicken & Fish
28,Premium Chicken Sandwich- Crispy,750,30,45,58,"1,560",400,8,1,70,3,8,189,Chicken & Fish
29,Premium Chicken Sandwich- Crispy w/o Mayo,540,29,21,57,"1,370",190,4,0,55,3,8,166,Chicken & Fish
30,Original Chicken Sandwich,630,24,39,46,"1,390",350,7,1,65,3,4,166,Chicken & Fish
31,Original Chicken Sandwich w/o Mayo,420,24,16,46,"1,210",140,4,0,45,3,4,145,Chicken & Fish
32,Chicken Crisp Sandwich- classic,500,17,32,39,860,290,6,2,45,2,5,106,Chicken & Fish
33,Chicken Crisp Sandwich- Spicy,480,17,27,40,930,240,5,1,45,2,6,114,Chicken & Fish
34,Home-style Chicken Strips- 2pc,240,9,13,23,940,110,3,0,20,0,0,109,Snacks & Sides
35,Home-style Chicken Strips- 3pc,360,14,19,34,"1,400",170,4,0,30,1,0,162,Snacks & Sides
36,Home-style Chicken Strips- 5pc,610,23,32,57,"2,340",280,6,1,50,1,1,272,Snacks & Sides
37,Chicken Nuggets (4 pc),190,10,11,10,310,100,2,0,25,1,0,37,Snacks & Sides
38,Chicken Nuggets (6 pc),290,15,17,15,460,150,3,0,40,1,0,55,Snacks & Sides
39,Chicken Nuggets (8 pc),380,20,22,20,610,200,5,0,50,2,0,73,Snacks & Sides
40,Chicken Nuggets (20 pc),950,51,55,50,"1,530",500,11,0,130,5,0,184,Snacks & Sides
41,Tacos (2),390,14,16,18,710,140,7,1,30,5,4,83,Snacks & Sides
42,Country Pork Sandwich,810,29,42,78,"1,910",380,13,0,75,4,10,232,Beef & Pork
43,Premium Alaskan Fish Sandwich,590,21,31,57,"1,480",280,5,0,45,3,8,178,Chicken & Fish
44,Premium Alaskan Fish Sandwich w/o Tartar Sauce,410,21,12,53,"1,240",110,2,0,30,3,6,150,Chicken & Fish
45,Apple Slices,25,0,0,6,0,0,0,0,0,1,5,2,Desserts
46,Onion Rings – value,150,1,8,19,400,70,2,0,0,1,2,49,Snacks & Sides
47,Onion Rings – small,320,3,16,41,840,150,3,0,0,3,4,103,Snacks & Sides
48,Onion Rings – medium,410,4,21,53,"1,080",190,4,0,0,4,5,133,Snacks & Sides
49,Onion Rings – large,500,5,25,64,"1,310",230,5,0,0,5,7,161,Snacks & Sides
50,French Fries – value (Salted),240,2,10,34,330,90,2,0,0,3,0,45,Snacks & Sides
51,French Fries – small (Salted),340,4,15,49,480,130,3,0,0,4,0,66,Snacks & Sides
52,French Fries – medium (Salted),410,4,18,58,570,160,3,0,0,4,0,78,Snacks & Sides
53,French Fries – large (Salted),500,5,22,72,710,200,4,0,0,5,0,98,Snacks & Sides
54,Mozzarella Sticks (4 pc),280,11,15,24,650,140,5,0,35,2,2,78,Snacks & Sides
55,Chicken Caesar Garden Fresh Salad with TENDERGRILL and dressing,530,35,32,26,"1,640",290,5,0,95,3,6,188,Salads
56,Chicken Caesar Garden Fresh Salad with TENDERCRISP and dressing,670,34,43,40,"1,760",380,7,0,80,5,8,206,Salads
57,Side Caesar Salad and dressing,220,6,20,7,540,180,4,0,10,2,3,62,Salads
58,Chicken BLT Garden Fresh Salad with TENDERGRILL and dressing,550,36,37,17,"1,640",330,10,0,115,3,5,186,Salads
59,Chicken BLT Garden Fresh Salad with TENDERCRISP and dressing,690,35,48,31,"1,750",430,12,1,100,4,8,203,Salads
60,Chicken Apple & Cranberry Garden Fresh Salad with TENDERGRILL and dressing,560,29,30,40,980,270,7,0,90,4,34,120,Salads
61,Chicken Apple & Cranberry Garden Fresh Salad with TENDERCRISP and dressing,700,28,41,54,"1,090",370,9,0,80,5,37,137,Salads
62,Side Garden Salad and Avocado Ranch Dressing,230,5,21,7,520,190,5,0,30,2,3,60,Salads
63,Ranch Crispy Chicken Wrap,370,14,23,29,"1,010",210,6,1,35,2,1,119,Chicken & Fish
64,Ranch Grilled Chicken Wrap,350,19,18,24,"1,020",170,5,0,55,1,1,119,Chicken & Fish
65,Honey Mustard Crispy Chicken Wrap,390,14,23,34,930,210,6,0,35,2,6,112,Chicken & Fish
66,Honey Mustard Grilled Chicken Wrap,370,19,19,29,950,170,5,0,55,1,6,113,Chicken & Fish
67,Chicken BLT Garden Fresh Salad Wrap- grilled,420,22,22,36,"1,280",190,6,0,55,4,3,150,Salads
68,Chicken BLT Garden Fresh Salad Wrap- crispy,490,22,27,43,"1,340",240,7,0,50,4,4,159,Salads
69,Chicken Apple and Cranberry Garden Fresh Salad Wrap- grilled,430,19,18,47,980,170,5,0,45,4,17,121,Salads
70,Chicken Apple and Cranberry Garden Fresh Salad Wrap- crispy,500,18,24,54,"1,030",210,6,0,40,5,19,128,Salads
71,Chicken Caesar Garden Fresh Salad Wrap- grilled,380,21,18,37,"1,210",160,4,0,40,5,3,143,Salads
72,Chicken Caesar Garden Fresh Salad Wrap- crispy,460,21,23,44,"1,260",210,5,0,35,5,4,150,Salads
73,Ken’s Citrus Caesar Dressing- packet,180,2,18,4,460,160,4,0,5,0,2,53,Salads
74,Ken’s Honey Mustard Dressing- packet,220,1,18,13,270,160,3,0,15,1,12,35,Salads
75,Ken’s Lite Honey Balsamic- packet,120,0,7,14,220,70,1,0,0,0,11,28,Salads
76,Ken’s Avocado Ranch Dressing- packet,170,1,17,4,420,150,3,0,15,0,3,48,Salads
77,Ken’s Apple Cider Vinaigrette- packet,210,0,18,10,115,160,3,0,10,0,7,17,Salads
78,Home-style Caesar Croutons- Packet,60,2,2,9,160,20,0,0,10,0,1,20,Salads
79,Cinnabon® Roll- One,300,6,11,45,280,100,5,0,5,2,20,44,Desserts
80,Dutch Apple Pie,320,2,14,46,300,130,6,0,0,1,23,46,Desserts
81,HERSHEY®’S Sundae Pie,310,3,19,32,220,170,12,0,10,1,22,34,Desserts
82,Soft Serve Cone,160,4,4,27,130,35,3,0,15,0,20,22,Desserts
83,Soft Serve Cup,140,4,4,23,125,35,3,0,15,0,19,20,Desserts
84,Caramel Sundae,280,5,6,52,250,60,4,0,20,0,37,42,Desserts
85,Chocolate Fudge Sundae,280,6,7,50,220,60,5,0,15,1,43,39,Desserts
86,Strawberry Sundae,190,4,4,35,125,35,3,0,15,0,31,24,Desserts
87,OREO Sundae,440,8,12,77,390,110,7,0,25,1,57,65,Desserts
88,Mini M & M Sundae,450,8,13,76,310,120,9,0,30,0,62,56,Desserts
89,Brownie Sundae,530,10,17,89,390,150,10,0,55,2,70,69,Desserts
90,Chocolate Chip Cookies (2),330,3,15,47,250,140,8,0,20,1,29,41,Desserts
91,White Chocolate Macadamia Nut Cookies (2),340,4,18,44,240,160,8,0,20,0,28,40,Desserts
92,Oatmeal Raisin Cookies (2),310,4,13,46,260,120,8,0,20,3,26,42,Desserts
93,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
94,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
95,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
96,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
97,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
98,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
99,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
100,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
101,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
102,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
103,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
104,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
105,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
106,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
107,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
108,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
109,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts
110,Mocha Frappe: 12 fl oz,410,3,19,58,230,170,11,0,5,0,39,43,Desserts
111,Mocha Frappe: 16 fl oz,510,4,22,72,300,200,12,0,5,0,49,54,Desserts
112,Mocha Frappe: 20 fl oz,600,5,25,87,360,230,14,0,5,0,59,65,Desserts
113,Caramel Frappe: 12 fl oz,410,3,19,58,230,170,11,0,5,0,39,43,Desserts
114,Caramel Frappe: 16 fl oz,510,4,22,72,300,200,12,0,5,0,49,54,Desserts
